id,EAP,HPL,MWS
id02310,0.19254647195339203,0.013821902684867382,0.7936316728591919
id24541,0.9940628409385681,0.005136698018759489,0.0008004211122170091
id00134,0.19315111637115479,0.803697407245636,0.0031514568254351616
id27757,0.7698420286178589,0.2289489060640335,0.0012090984964743257
id04081,0.9296466708183289,0.04046738147735596,0.029885917901992798
id27337,0.5531898140907288,0.4446662962436676,0.002143901539966464
id24265,0.744117021560669,0.2344585806131363,0.021424483507871628
id25917,0.11215873062610626,0.1651516854763031,0.7226896286010742
id04951,0.9974428415298462,0.002500969683751464,5.6243137805722654e-05
id14549,0.8798145651817322,0.01790657639503479,0.10227879881858826
id22505,0.018790779635310173,0.4273422360420227,0.553866982460022
id24002,7.855949661461636e-06,0.9999910593032837,1.0142583732886123e-06
id18982,0.0070286523550748825,0.8903986811637878,0.10257274657487869
id15181,0.02702796272933483,0.97278892993927,0.00018308698781765997
id21888,0.7638882398605347,0.0994277223944664,0.13668398559093475
id12035,0.006492394022643566,0.0018305531702935696,0.9916770458221436
id17991,0.57523113489151,0.015877626836299896,0.4088912904262543
id10707,0.9999865293502808,1.1265323109910241e-06,1.2399840670695994e-05
id07101,0.568682849407196,0.1479504108428955,0.28336670994758606
id00345,0.7891990542411804,0.20279231667518616,0.00800866074860096
id05912,0.9615261554718018,0.008371732197701931,0.03010217472910881
id13443,0.9898774027824402,0.0013687761966139078,0.008753842674195766
id09248,0.35525426268577576,0.1645919382572174,0.4801538288593292
id17542,0.24559688568115234,0.7177896499633789,0.03661349043250084
id06995,0.0034064368810504675,0.00012363455607555807,0.9964699745178223
id25159,0.7829234004020691,0.023782728239893913,0.19329389929771423
id25729,0.818386971950531,0.17696669697761536,0.004646368324756622
id26949,0.9605030417442322,0.01841931790113449,0.021077658981084824
id27191,0.15862280130386353,0.10314930230379105,0.7382278442382812
id07668,0.035226840525865555,0.001389762619510293,0.9633833765983582
id02230,0.11206324398517609,0.4694094955921173,0.4185272753238678
id15553,0.9992451667785645,0.0005416040075942874,0.00021318040671758354
id25688,0.0003357227542437613,0.9980429410934448,0.0016212600748986006
id17545,0.9743280410766602,0.016347607597708702,0.009324361570179462
id13929,0.5398238897323608,0.27445274591445923,0.18572337925434113
id12880,0.7662869095802307,0.1640981137752533,0.06961499154567719
id19282,0.7238519787788391,0.09983014315366745,0.17631784081459045
id14690,0.03300262987613678,0.003804416861385107,0.9631929397583008
id17975,0.010985706001520157,0.9747180938720703,0.01429617777466774
id08037,0.9247889518737793,0.0036267859395593405,0.07158420979976654
id15412,0.399427205324173,0.0159133393317461,0.5846594572067261
id25032,0.44347140192985535,0.10809104144573212,0.44843757152557373
id27165,0.9956062436103821,0.0017951263580471277,0.002598645631223917
id03327,0.9234902858734131,0.05503704771399498,0.021472712978720665
id18515,0.9596461653709412,0.003936490975320339,0.03641735389828682
id21003,0.530672013759613,0.011845119297504425,0.45748284459114075
id23855,0.010948431678116322,0.9688734412193298,0.020178135484457016
id20724,0.8690876960754395,0.08534693717956543,0.045565325766801834
id13303,0.5707260370254517,0.020438414067029953,0.4088355004787445
id16521,0.0003416739637032151,0.04378119483590126,0.9558771848678589
id20775,0.9999792575836182,1.9754217646550387e-05,9.381928407492524e-07
id13029,0.9953836798667908,0.0022085539530962706,0.0024076756089925766
id14660,0.7745329141616821,0.18349827826023102,0.041968874633312225
id11028,0.0020785543601959944,0.00022961630020290613,0.9976918697357178
id14180,0.9944144487380981,0.004526736680418253,0.0010588469449430704
id25860,0.9999895095825195,9.936973583535291e-06,5.711340804737119e-07
id11910,0.7180185914039612,0.04793664813041687,0.23404474556446075
id08065,0.4568379819393158,0.18288969993591309,0.3602723479270935
id22674,0.0004677071701735258,0.0008091458003036678,0.9987230896949768
id25018,0.2729935944080353,0.013047222048044205,0.7139592170715332
id10892,0.08248013257980347,0.9129050970077515,0.004614746198058128
id10217,0.09693053364753723,0.9029066562652588,0.00016278470866382122
id12996,0.5545889735221863,0.20983323454856873,0.235577791929245
id18262,0.5515918731689453,0.10435505956411362,0.3440529704093933
id08606,1.5490739315282553e-05,0.9999252557754517,5.9255355154164135e-05
id17233,0.9112036228179932,0.017955267801880836,0.07084101438522339
id00101,0.7257328033447266,0.06755747646093369,0.20670975744724274
id12225,0.880580484867096,0.056956179440021515,0.062463317066431046
id01364,0.10077199339866638,0.8870998024940491,0.012128210626542568
id24973,0.9786227941513062,0.0027275369502604008,0.018649637699127197
id25363,0.9999663829803467,6.864681836304953e-07,3.284378908574581e-05
id10061,0.718940258026123,0.004413904622197151,0.27664580941200256
id17673,0.36299699544906616,0.5083147883415222,0.12868820130825043
id13249,0.5763697028160095,0.07161703705787659,0.3520132005214691
id10107,0.004624256864190102,0.0023905851412564516,0.992985188961029
id04403,0.9945284724235535,0.0004085317486897111,0.005063006188720465
id25728,0.9688951373100281,0.0028532363940030336,0.02825159952044487
id16184,0.7472764253616333,0.023877372965216637,0.22884626686573029
id03438,0.006939431186765432,1.1155163520015776e-05,0.9930493831634521
id22923,0.23541387915611267,0.749451220035553,0.015134904533624649
id08610,0.9983750581741333,0.0005206612986512482,0.001104271737858653
id25355,0.16502809524536133,0.04560518264770508,0.7893667221069336
id16916,0.6796889305114746,0.2839464843273163,0.03636457771062851
id12793,0.055780552327632904,0.9414551258087158,0.0027643220964819193
id11859,0.5899267792701721,0.009119844995439053,0.40095341205596924
id02434,0.9999967813491821,1.1091323131040554e-06,2.1762859887530794e-06
id27703,0.0011850482551380992,0.002496986649930477,0.996317982673645
id25212,0.017242945730686188,0.981845498085022,0.0009115352295339108
id11308,0.18556126952171326,0.35493946075439453,0.45949918031692505
id26094,0.9069111347198486,0.08835961669683456,0.004729294218122959
id22080,0.8218346238136292,0.17514488101005554,0.0030205072835087776
id03545,0.9860860109329224,0.013758888468146324,0.00015510586672462523
id23725,0.0021049121860414743,0.00223612692207098,0.9956589937210083
id12009,0.8639113903045654,0.10540859401226044,0.03068002313375473
id24241,0.658291757106781,0.179090216755867,0.16261796653270721
id03596,0.02495720237493515,0.9661072492599487,0.008935525082051754
id10749,0.24291019141674042,0.5142211318016052,0.24286866188049316
id22794,0.00024308337015099823,0.001990505261346698,0.997766375541687
id15482,0.3351966440677643,0.2819124758243561,0.38289085030555725
id04833,0.7275984883308411,0.25322288274765015,0.019178681075572968
id00397,0.16209064424037933,3.235794565625838e-07,0.8379090428352356
id14691,0.009770839475095272,7.265739259310067e-05,0.9901565313339233
id05193,0.1166478767991066,0.00974883884191513,0.8736032843589783
id19541,0.9978134632110596,0.001196293393149972,0.0009902584133669734
id22166,9.93703451968031e-06,3.550669862306677e-05,0.9999545812606812
id20744,0.09739147871732712,0.106437548995018,0.7961708903312683
id10392,3.7681971321035235e-07,4.5690993033531413e-07,0.9999991655349731
id00770,0.9888789653778076,0.00930639449506998,0.0018145740032196045
id06018,0.09688840806484222,0.8847299814224243,0.018381653353571892
id15678,0.3030432164669037,0.006727137602865696,0.6902296543121338
id08305,0.9536210894584656,0.032273612916469574,0.014105290174484253
id08903,0.7186610102653503,0.04198535904288292,0.23935365676879883
id14752,0.915249228477478,0.07903075218200684,0.005719971843063831
id12468,0.030677158385515213,0.9688555598258972,0.0004673304792959243
id05085,0.6612557768821716,0.30936434864997864,0.029379839077591896
id21993,0.17058369517326355,0.004414551891386509,0.8250017762184143
id15503,0.8085324764251709,0.17481927573680878,0.01664820685982704
id03021,1.1236007679826798e-08,0.9999997615814209,2.4954613309091656e-07
id16123,0.999996542930603,2.9433658710331656e-06,4.954478072249913e-07
id19383,0.9967145919799805,0.002743020188063383,0.0005423807306215167
id04186,0.9995797276496887,0.0002540044370107353,0.0001661869464442134
